Size_element;Surface mesh-size;Number_element;Cl;CD;Sim_number;info
0.7;0.425972129;9797;0.11339;0.00209;0;1.6433
0.5;0.304265807;10285;0.13991;0.00408;1;
0.3;0.182559484;12842;0.14818;0.00433;2;
0.1;0.060853161;25935;0.23266;0.00364;3;
0.09;0.054767845;29612;0.24663;0.00391;4;
0.05;0.030426581;57772;0.2757;0.00475;5;
0.03;0.018255948;123405;0.29635;0.00577;6;
0.02;0.012170632;242208;0.29644;0.00587;7;
0.017;0.010345037;321902;0.2966;0.00608;8;
