
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  -1.200   0.0434   0.00681   0.00205  -0.0764   0.3325   0.1184
  -1.100   0.0605   0.00680   0.00202  -0.0764   0.3057   0.1362
  -1.000   0.0773   0.00681   0.00200  -0.0765   0.2739   0.1575
  -0.900   0.0945   0.00681   0.00199  -0.0765   0.2575   0.1694
  -0.800   0.1120   0.00677   0.00196  -0.0767   0.2381   0.1946
  -0.700   0.1286   0.00680   0.00196  -0.0766   0.2143   0.2092
  -0.600   0.1454   0.00683   0.00196  -0.0765   0.1964   0.2205
  -0.500   0.1623   0.00681   0.00195  -0.0766   0.1746   0.2438
  -0.400   0.1802   0.00668   0.00190  -0.0770   0.1586   0.2956
  -0.300   0.1975   0.00665   0.00189  -0.0770   0.1479   0.3184
  -0.200   0.2149   0.00659   0.00187  -0.0771   0.1398   0.3454
  -0.100   0.2328   0.00645   0.00183  -0.0774   0.1330   0.3950
   0.000   0.2499   0.00637   0.00181  -0.0775   0.1236   0.4311
   0.100   0.2671   0.00624   0.00177  -0.0776   0.1161   0.4779
   0.200   0.2838   0.00615   0.00176  -0.0775   0.1091   0.5207
   0.300   0.3004   0.00612   0.00178  -0.0773   0.1040   0.5449
   0.400   0.3170   0.00615   0.00181  -0.0770   0.0986   0.5538
   0.500   0.3332   0.00621   0.00185  -0.0766   0.0899   0.5596
   0.600   0.3494   0.00626   0.00190  -0.0762   0.0828   0.5657
   0.700   0.3657   0.00631   0.00195  -0.0757   0.0770   0.5718
   0.800   0.3820   0.00636   0.00200  -0.0753   0.0721   0.5778
   0.900   0.3985   0.00641   0.00204  -0.0748   0.0687   0.5814
   1.000   0.4149   0.00646   0.00210  -0.0744   0.0654   0.5855
   1.100   0.4312   0.00652   0.00215  -0.0739   0.0611   0.5876
   1.200   0.4477   0.00658   0.00220  -0.0734   0.0587   0.5894
   1.300   0.4641   0.00663   0.00226  -0.0728   0.0561   0.5918
   1.400   0.4804   0.00669   0.00232  -0.0723   0.0539   0.5946
   1.500   0.4968   0.00675   0.00238  -0.0717   0.0512   0.5977
   1.600   0.5134   0.00681   0.00244  -0.0711   0.0498   0.5988
   1.700   0.5301   0.00686   0.00250  -0.0705   0.0494   0.6002
   1.800   0.5468   0.00691   0.00256  -0.0699   0.0486   0.6016
   1.900   0.5633   0.00697   0.00262  -0.0693   0.0476   0.6029
   2.000   0.5798   0.00703   0.00269  -0.0686   0.0463   0.6044
   2.100   0.5962   0.00709   0.00276  -0.0678   0.0448   0.6061
   2.200   0.6127   0.00716   0.00283  -0.0671   0.0439   0.6073
   2.300   0.6292   0.00723   0.00291  -0.0663   0.0427   0.6091
   2.500   0.6621   0.00737   0.00308  -0.0646   0.0403   0.6115
   2.600   0.6788   0.00744   0.00317  -0.0637   0.0398   0.6130
   2.700   0.6956   0.00750   0.00325  -0.0628   0.0396   0.6141
   2.800   0.7125   0.00757   0.00334  -0.0619   0.0391   0.6151
   2.900   0.7293   0.00764   0.00342  -0.0609   0.0385   0.6159
   3.000   0.7462   0.00771   0.00351  -0.0599   0.0375   0.6172
   3.100   0.7630   0.00779   0.00360  -0.0588   0.0359   0.6181
   3.200   0.7797   0.00788   0.00370  -0.0577   0.0341   0.6189
   3.300   0.7962   0.00798   0.00381  -0.0564   0.0322   0.6197
   3.400   0.8125   0.00809   0.00395  -0.0551   0.0302   0.6207
   3.500   0.8288   0.00820   0.00410  -0.0537   0.0294   0.6225
   3.600   0.8448   0.00833   0.00427  -0.0521   0.0287   0.6234
   3.700   0.8600   0.00850   0.00449  -0.0504   0.0280   0.6245
   3.800   0.8739   0.00873   0.00479  -0.0483   0.0275   0.6254
   3.900   0.8857   0.00904   0.00518  -0.0460   0.0272   0.6266
