Size_element;Surface mesh-size;Number_element;Cl;CD;Sim_number;info
0.7;0.425972129;18227;0.12327;0.00477;0;1.6433
0.5;0.304265807;19999;0.11455;0.00178;1;
0.3;0.182559484;23151;0.14255;0.00411;2;
0.1;0.060853161;33587;0.15875;-0.00014;3;
0.09;0.054767845;44285;0.23968;0.00373;4;
0.05;0.030426581;79048;0.27763;0.00508;5;
0.03;0.018255948;153135;0.29583;0.00557;6;
0.02;0.012170632;300894;0.30193;0.00579;7;
0.017;0.010345037;394183;0.30223;0.00598;8;
